time,date,file,func,line,serious_error,error,warning,msg,format_exception,phase,gnss_time,lat,lon,alt,alt_base_press,goal_lat,goal_lon,temp,press,camera_area,camera_order,camera_center_x,camera_center_y,camera_frame_size_x,camera_frame_size_y,motor_l,motor_r,goal_relative_x,goal_relative_y,goal_relative_angle_rad,goal_distance,accel_all_x,accel_all_y,accel_all_z,accel_line_x,accel_line_y,accel_line_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,grav_x,grav_y,grav_z,euler_x,euler_y,euler_z,nmea
"508.257815897","2026-03-01 13:09:20.205297","/home/sc28/SC-28/3_EM/EM_ver1.py","main","258","","","","start phase1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"508.271291201","2026-03-01 13:09:20.216382","/home/sc28/SC-28/3_EM/EM_ver1.py","main","259","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"508.275573355","2026-03-01 13:09:20.220648","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.7973348193759","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"508.276253602","2026-03-01 13:09:20.221321","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","0.10107037831810772","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"509.378876324","2026-03-01 13:09:21.323951","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8158009264229","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"509.379424132","2026-03-01 13:09:21.324487","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.05198421894623717","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"510.481592606","2026-03-01 13:09:22.426662","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.7788683100157","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"510.482050058","2026-03-01 13:09:22.427113","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","0.2541305586666698","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"511.584220048","2026-03-01 13:09:23.529289","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8390773132031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"511.584677152","2026-03-01 13:09:23.529741","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.2449051656576673","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"512.686842222","2026-03-01 13:09:24.631911","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.9010580762827","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"512.687299653","2026-03-01 13:09:24.632366","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.7586009606893218","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"513.789815637","2026-03-01 13:09:25.734890","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8456549984912","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"513.792107185","2026-03-01 13:09:25.737183","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.29942214101421616","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"514.894872146","2026-03-01 13:09:26.839941","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8689279590842","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"514.895405424","2026-03-01 13:09:26.840469","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.4923101098586957","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"515.998792266","2026-03-01 13:09:27.943861","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8570317442113","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"515.999246879","2026-03-01 13:09:27.944309","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.3937138727669476","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"517.102027023","2026-03-01 13:09:29.047095","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8469082926896","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"517.102487334","2026-03-01 13:09:29.047551","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.3098096243099846","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"518.20470033","2026-03-01 13:09:30.149769","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8451317535313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"518.205159197","2026-03-01 13:09:30.150223","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.29508540815823103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"519.308125337","2026-03-01 13:09:31.253200","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8266590638465","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"519.308805564","2026-03-01 13:09:31.253875","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.14197982342156745","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"520.411389987","2026-03-01 13:09:32.356459","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8451317535313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"520.411846432","2026-03-01 13:09:32.356909","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.29508540815823103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"521.514105654","2026-03-01 13:09:33.459177","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8183115744805","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"521.514571635","2026-03-01 13:09:33.459634","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.07279331639233","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"522.616729055","2026-03-01 13:09:34.561798","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8534794647614","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"522.617190728","2026-03-01 13:09:34.562254","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.3642722778812346","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"523.719373767","2026-03-01 13:09:35.664443","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.7712385804318","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"523.719870012","2026-03-01 13:09:35.664933","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","0.31737044260178315","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"524.822405325","2026-03-01 13:09:36.767480","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.7879324403766","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"524.823060286","2026-03-01 13:09:36.768129","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","0.1790019791703612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"525.925463499","2026-03-01 13:09:37.870533","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8165332864793","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"525.925919895","2026-03-01 13:09:37.870982","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.05805427027155696","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"527.028137057","2026-03-01 13:09:38.973206","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8415753721939","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"527.028595441","2026-03-01 13:09:38.973659","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.26560953739754645","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"528.130777572","2026-03-01 13:09:40.075846","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8397955298653","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"528.131257838","2026-03-01 13:09:40.076321","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.2508578814893081","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"529.23344316","2026-03-01 13:09:41.178512","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.864837374575","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"529.233903029","2026-03-01 13:09:41.178966","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.458407310325466","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"530.336416852","2026-03-01 13:09:42.281491","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8296675030487","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"530.337078975","2026-03-01 13:09:42.282148","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.1669145613648082","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"531.439428292","2026-03-01 13:09:43.384497","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.827885609379","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"531.439885107","2026-03-01 13:09:43.384948","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.15214576364577015","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"532.542124854","2026-03-01 13:09:44.487194","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8529264764953","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"532.542585791","2026-03-01 13:09:44.487649","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.35968905651291294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"533.644802828","2026-03-01 13:09:45.589872","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8678367548074","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"533.645258514","2026-03-01 13:09:45.590321","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.4832662102296603","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"534.747372508","2026-03-01 13:09:46.692441","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8577051783802","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"534.747824193","2026-03-01 13:09:46.692888","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.39929534318535076","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"535.850362463","2026-03-01 13:09:47.795438","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8559193755756","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"535.851148239","2026-03-01 13:09:47.796222","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.3844944756380064","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"536.953662918","2026-03-01 13:09:48.898732","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8457860731963","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"536.954151582","2026-03-01 13:09:48.899215","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.3005085075812941","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"538.056360027","2026-03-01 13:09:50.001429","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8273057956162","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"538.056816211","2026-03-01 13:09:50.001882","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.14734011201521513","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"539.158987053","2026-03-01 13:09:51.104055","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8857296866793","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"539.159442417","2026-03-01 13:09:51.104506","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.6315618152347824","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"540.261618128","2026-03-01 13:09:52.206687","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8654571055778","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"540.262074071","2026-03-01 13:09:52.207137","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.4635436532904924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"541.364524758","2026-03-01 13:09:53.309599","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.8553196514018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"541.369821466","2026-03-01 13:09:53.314897","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.37952391200372304","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"542.472388295","2026-03-01 13:09:54.417457","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.9071874130589","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"542.472859663","2026-03-01 13:09:54.417922","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","-0.809399451651005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"543.575046199","2026-03-01 13:09:55.520116","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.7915216092978","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"543.575494662","2026-03-01 13:09:55.520558","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","0.14925309045328738","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"544.677679839","2026-03-01 13:09:56.622749","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.7646917298408","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"544.6781344","2026-03-01 13:09:56.623198","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","0.3716350664890111","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"545.780318995","2026-03-01 13:09:57.725388","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.798071867121","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"545.780774655","2026-03-01 13:09:57.725837","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","0.09496138409448185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"546.883242912","2026-03-01 13:09:58.828317","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.7712411178904","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"546.883963874","2026-03-01 13:09:58.829032","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","0.3173494105221153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"547.986407277","2026-03-01 13:09:59.931476","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.7444103864057","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"547.98686805","2026-03-01 13:09:59.931931","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","0.5397420368963424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"549.089197704","2026-03-01 13:10:01.034267","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.7259241000553","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"549.089657601","2026-03-01 13:10:01.034721","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","0.6929725922305896","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"550.191810849","2026-03-01 13:10:02.136879","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.7056384513191","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"550.192327249","2026-03-01 13:10:02.137391","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","0.8611204346138801","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"551.294668154","2026-03-01 13:10:03.239737","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.7056384513191","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"551.29520591","2026-03-01 13:10:03.240270","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","0.8611204346138801","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"552.397763034","2026-03-01 13:10:04.342837","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.6418300890102","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"552.398415512","2026-03-01 13:10:04.343486","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","1.390045958598125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"553.500837839","2026-03-01 13:10:05.445906","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.6233411889776","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"553.501300879","2026-03-01 13:10:05.446364","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","1.5433106869258273","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"554.603508188","2026-03-01 13:10:06.548576","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.6215380806866","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"554.60396967","2026-03-01 13:10:06.549033","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","1.5582577704632194","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"555.70622597","2026-03-01 13:10:07.651294","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.4975217181194","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"555.706678395","2026-03-01 13:10:07.651742","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","2.586357821608182","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"556.808881836","2026-03-01 13:10:08.753951","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.5493815632518","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"556.809444871","2026-03-01 13:10:08.754511","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","2.1564255208196026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"557.911912816","2026-03-01 13:10:09.856988","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.4975217181194","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"557.912613023","2026-03-01 13:10:09.857682","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","2.586357821608182","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"559.015235997","2026-03-01 13:10:10.960306","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.4891795436758","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"559.015734624","2026-03-01 13:10:10.960801","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","2.655518386086549","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"560.118147632","2026-03-01 13:10:12.063217","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.4873731959068","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"560.118667201","2026-03-01 13:10:12.063732","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","2.6704939223430593","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"561.220953833","2026-03-01 13:10:13.166023","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.4152158352991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"561.221416069","2026-03-01 13:10:13.166479","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","3.2687325290219347","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"562.324628633","2026-03-01 13:10:14.269698","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.3329051223307","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"562.325096914","2026-03-01 13:10:14.270160","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","3.95119198435662","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"563.427545848","2026-03-01 13:10:15.372620","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.3847612535425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"563.42825296","2026-03-01 13:10:15.373324","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","3.5212341493343424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"564.530908862","2026-03-01 13:10:16.475983","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.3680796124594","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"564.531553641","2026-03-01 13:10:16.476623","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","3.6595456994381745","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"565.633980243","2026-03-01 13:10:17.579049","/home/sc28/SC-28/3_EM/EM_ver1.py","main","281","","","","","","","","","","","","","","","1017.3209385991541","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"565.634436607","2026-03-01 13:10:17.579499","/home/sc28/SC-28/3_EM/EM_ver1.py","main","282","","","","","","","","","","4.050413252013209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
