time,date,file,func,line,serious_error,error,warning,msg,format_exception,phase,gnss_time,lat,lon,alt,alt_base_press,goal_lat,goal_lon,temp,press,camera_area,camera_order,camera_center_x,camera_center_y,camera_frame_size_x,camera_frame_size_y,motor_l,motor_r,goal_relative_x,goal_relative_y,goal_relative_angle_rad,goal_distance,accel_all_x,accel_all_y,accel_all_z,accel_line_x,accel_line_y,accel_line_z,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,grav_x,grav_y,grav_z,euler_x,euler_y,euler_z,nmea
"3331.836633363","2026-03-01 13:56:23.785285","/home/sc28/SC-28/3_EM/EM_ver1.py","main","258","","","","start phase1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3331.858887461","2026-03-01 13:56:23.803975","/home/sc28/SC-28/3_EM/EM_ver1.py","main","259","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3331.861059405","2026-03-01 13:56:23.806128","/home/sc28/SC-28/3_EM/EM_ver1.py","main","283","","","","","","","","","","","","","","","1017.7040372845784","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3331.861539629","2026-03-01 13:56:23.806603","/home/sc28/SC-28/3_EM/EM_ver1.py","main","284","","","","","","","","","","-0.07428628805695059","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3332.965797927","2026-03-01 13:56:24.910873","/home/sc28/SC-28/3_EM/EM_ver1.py","main","283","","","","","","","","","","","","","","","1017.7021689567794","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3332.966406748","2026-03-01 13:56:24.911475","/home/sc28/SC-28/3_EM/EM_ver1.py","main","284","","","","","","","","","","-0.05879922208454458","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3334.068785559","2026-03-01 13:56:26.013855","/home/sc28/SC-28/3_EM/EM_ver1.py","main","283","","","","","","","","","","","","","","","1017.7188392083231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3334.069247553","2026-03-01 13:56:26.014311","/home/sc28/SC-28/3_EM/EM_ver1.py","main","284","","","","","","","","","","-0.19698255664456488","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3335.171555945","2026-03-01 13:56:27.116625","/home/sc28/SC-28/3_EM/EM_ver1.py","main","283","","","","","","","","","","","","","","","1017.7021689567794","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3335.172164037","2026-03-01 13:56:27.117228","/home/sc28/SC-28/3_EM/EM_ver1.py","main","284","","","","","","","","","","-0.05879922208454458","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3336.274495346","2026-03-01 13:56:28.219564","/home/sc28/SC-28/3_EM/EM_ver1.py","main","283","","","","","","","","","","","","","","","1017.683629668208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3336.274965518","2026-03-01 13:56:28.220031","/home/sc28/SC-28/3_EM/EM_ver1.py","main","284","","","","","","","","","","0.09487911871675192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3337.377175625","2026-03-01 13:56:29.322245","/home/sc28/SC-28/3_EM/EM_ver1.py","main","283","","","","","","","","","","","","","","","1017.6900941943181","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
